ident,site,code,type_eng,Li,Mg,Al,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Cd,Sn,Sb,Ba,Pb,Bi,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
22,Prosmyky,PRO_119-12,bracelet,0.00473,0,0.03054,0,0.00764,0.00178,0.29623,0.01351,0.02118,87.80659,0.03688,0.03586,0.01572,0.00192,11.69283,0.00821,0.0047,0.03148,0.00322,0.840259122105818,2.070394,18.519717,15.561367,38.3431065875667
23,Prosmyky,PRO_187-01,brooch_D,0.00521,0,0.00191,0,0.00732,0.0009,0.44047,0.02038,0.11683,87.04474,0.06946,0.24551,0.06374,0.00246,11.09434,0.15907,0.00774,0.73973,0.00375,0.847216876791934,2.088946,18.492429,15.667098,38.6296803307707
24,Prosmyky,PRO_187-02,brooch_M,0.00322,0,0.00257,0,0.00267,0.00457,0.55035,0.00875,0.04736,88.56311,0.13223,0.11128,0.00899,0.00429,10.5098,0.01782,0.00176,0.05196,0,0.855932329609061,2.103269,18.251497,15.622158,38.387805105669
25,Prosmyky,PRO_187-03,bracelet,0,0.00854,0.00401,0,0.00639,0.00416,0.44695,0.00711,0.06755,87.68898,0.15134,0.12318,0.04038,0.00186,8.01274,0.08813,0.00313,3.36168,0.00022,0.835874080692543,2.068301,18.752007,15.674791,38.7847987935974
26,Prosmyky,PRO_187-04,anklet,0.00331,0.02674,0,0.01828,0.00457,0.00283,0.42657,0.00866,0.05458,88.09895,0.10935,0.12351,0.03475,0.00376,10.25883,0.08717,0.0014,0.74733,0.00169,0.841464,2.079678,18.614252,15.663186,38.7116523615667
27,Prosmyky,PRO_187-05,anklet,0.00441,0.05069,0,0,0.00124,0.00468,0.21217,0.00744,0.05478,88.39634,0.05715,0.12237,0.03702,0.00126,10.19863,0.0861,0.00224,0.7821,0.00204,0.841583679231037,2.079882,18.622384,15.672388,38.7323614537441
28,Prosmyky,PRO_203-01,bracelet,0.0029,0.08735,0,0,0.0093,0.00246,0.88333,0.04288,0.22214,86.84152,0.04946,0.20997,0.0307,0.00331,9.77354,0.1515,0.0012,1.69736,0.00179,0.842407571812232,2.080787,18.601696,15.670263,38.7061749505318
29,Prosmyky,PRO_203-02,bracelet,0.00147,0.16663,0.03455,0,0.00444,0.00284,0.17446,0.02086,0.1403,85.5537,0.03486,0.25983,0.03767,0.00241,10.4273,0.20615,0.00265,2.93061,0.00789,0.850126230307582,2.092972,18.426579,15.664779,38.5663101545069
30,Prosmyky,PRO_203-03,anklet,0.00473,0,0,0,0.00594,0.00452,0.41202,0.02074,0.14428,85.80321,0.02788,0.2663,0.02441,0.0025,10.15239,0.20093,0.00172,2.93744,0.00946,0.850157,2.093153,18.425729,15.664668,38.567866261537
31,Prosmyky,PRO_222-01,bracelet,0.00324,0,0.39602,0.00528,0.00228,0.0035,0.27022,0.00104,0.01318,88.85425,0.02629,0.02676,0.02224,0.00459,10.36205,0.01635,0.00732,0.01168,0.00224,0.849896025687416,2.09138899,18.40331137,15.64038479,38.4884827584635
32,Prosmyky,PRO_231-01,brooch_D,9E-05,0.15841,0.53312,0,0.00397,0.00472,0.70493,0.02773,0.11461,86.73346,0.06927,0.1928,0.03085,0.00773,9.80752,0.12419,0.0055,1.47759,0.01296,0.839271,2.076432,18.664871,15.664345,38.7563348020607
33,Prosmyky,PRO_231-02,brooch_D,0.00304,0,0.3483,0,0.00713,0.00287,0.32921,0.01312,0.08294,88.74301,0.06307,0.15684,0.02993,0.00253,9.42662,0.10987,0.00415,0.68496,0.00423,0.841926004928943,2.07961599,18.61390095,15.67158602,38.7097660011801
34,Prosmyky,PRO_231-03,brooch_D,0.00277,0.00795,0.38166,0,0.00119,0.00416,0.95421,0.01256,0.0277,86.8942,0.08443,0.16063,0.01582,0.00237,11.2941,0.03135,0.00397,0.13548,0.00069,0.841305735456345,2.07994728,18.61906075,15.66432261,38.7266647466959
35,Prosmyky,PRO_231-04,brooch_D,0.00425,0.00234,0.37107,0,0.00295,0.00181,0.17221,0.01566,0.13034,87.16675,0.02488,0.19704,0.04419,0.00049,9.50112,0.17637,0.00238,2.19263,0.0113,0.839388555324073,2.07539638,18.67414616,15.67486463,38.7562553600077
36,Prosmyky,PRO_231-05,brooch_D,0.00527,0.17202,0.41605,0,0.00049,0.00496,0,0.01564,0.07539,86.40285,0.05313,0.19824,0.03739,0.00141,10.77252,0.1782,0.00707,1.67224,0.00759,0.847398043459037,2.08850069,18.47952243,15.65951125,38.5944952648811
37,Prosmyky,PRO_231-06,brooch_D,0.00339,0.18768,0.42673,0,0.00634,0.00267,0.41796,0.00412,0.01892,91.06164,0.0088,0.18519,0.00595,0.0027,7.6353,0.02246,0.00578,0.01904,0.00255,0.856351657599,2.10349672,18.23522946,15.61576901,38.357745367276
38,Prosmyky,PRO_231-07,bracelet,0.00354,0.00802,0.3795,0,0.00269,0,3.39278,0.03411,0.08558,84.29702,0.00896,0.16493,0.03543,0.00213,11.14764,0.06644,0.00458,0.37112,0.0026,0.843336,2.080764,18.571136,15.661652,38.642160890229
39,Prosmyky,PRO_231-08,bracelet,0.00261,0.10254,0.36475,0,0.00471,0,0.12759,0.0216,0.05943,87.52147,0.01328,0.13577,0.02971,0.00102,10.85772,0.06466,0.00375,0.69311,0.00149,0.838848449050643,2.07378666,18.68415429,15.67354844,38.7469499080562
40,Prosmyky,PRO_238-01,torc,0.00461,0.07604,0.39326,0,0.00108,0,0.14681,0.0005,0.0075,86.33263,0.02465,0.05596,0.00341,0.0034,12.91698,0.0142,0.0106,0.01302,0.00456,0.84557109085361,2.0831503,18.49389892,15.63769268,38.5255711452148
41,Prosmyky,PRO_238-02,brooch_M,0.0046,0.05389,0.40773,0,0.00515,0.00281,0.35047,0.01312,0.0814,82.71715,0.00436,0.11562,0.04215,0.00157,14.27119,0.10609,0.01289,1.7948,0.02982,0.842765,2.082614,18.593863,15.67028,38.7238438551816
42,Prosmyky,PRO_238-03,brooch_M,0.00325,0.04607,0.34022,0,0.00468,0,0.24709,0.01368,0.1513,87.05765,0.00118,0.19522,0.03048,0.0053,7.85638,0.15157,0.00334,3.87856,0.0229,0.846167454867627,2.08864388,18.51636537,15.66794582,38.6740931656278
