ident.,site,type_eng,Li,Mg,Al,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Sn,Sb,Pb,Bi
36,Duchcov,bracelet,0.000000,0.000000,0.000000,0.000000,0.000000,0.001139,0.014273,88.141105,2.225847,0.067123,0.003637,9.049583,0.022053,0.448917,0.000000
37,Duchcov,bracelet,0.000000,0.000000,0.000000,0.000000,0.000000,0.001126,0.011135,91.042612,0.000000,0.071415,0.013054,8.786477,0.020377,0.015358,0.000000
38,Duchcov,bracelet,0.000000,0.000000,0.000000,0.000000,0.000000,0.015967,0.103357,86.476239,0.047644,0.173670,0.035349,9.257550,0.117306,3.658078,0.044826
39,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.000000,0.022509,0.082249,88.136980,0.044568,0.246341,0.035384,9.155585,0.116763,2.062022,0.024850
40,Duchcov,bracelet,0.000000,0.000000,0.000000,0.000000,0.000000,0.009186,0.016658,87.115897,0.023445,0.081851,0.010694,12.551900,0.022005,0.054705,0.000000
41,Duchcov,bracelet,0.000000,0.055217,0.007980,0.000132,0.360797,0.025702,0.122272,88.797300,0.045364,0.168892,0.018780,8.350759,0.113495,1.864955,0.023674
42,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000195,0.009556,93.545506,0.000000,0.058357,0.002334,6.319038,0.014049,0.003647,0.000000
43,Duchcov,bracelet,0.000000,0.152518,0.051388,0.002805,0.000000,0.004553,0.129832,90.108175,0.200024,0.105134,0.015368,8.938654,0.025318,0.222221,0.000000
44,Duchcov,bracelet,0.000000,0.000000,0.000000,0.000000,0.286975,0.006653,0.037190,87.260113,0.000000,0.109405,0.014876,12.127693,0.040096,0.058374,0.000000
45,Duchcov,brooch_D,0.000000,0.000000,2.365894,0.000000,0.000000,0.002112,0.031803,84.967447,0.000000,0.138867,0.004308,12.340408,0.039858,0.023567,0.000000
46,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.001313,0.390921,0.017820,0.155426,85.809242,0.039498,0.213002,0.019212,9.317699,0.263790,3.710047,0.020047
47,Duchcov,brooch_D,0.000000,0.021531,0.000000,0.000892,0.000000,0.000967,0.013276,88.065819,0.000000,0.064705,0.006247,11.626748,0.096212,0.025659,0.000000
48,Duchcov,brooch_D,0.000000,0.016095,0.025664,0.000000,0.000000,0.006840,0.052802,88.004102,0.035013,0.103158,0.003388,11.664210,0.008661,0.013177,0.000000
49,Duchcov,brooch_D,0.000000,0.000000,0.000000,0.000000,0.000000,0.023334,0.147175,87.579448,0.008434,0.260276,0.019230,8.504944,0.217490,3.129211,0.034411
50,Prosmyky,torc,0.00062,0.02010,0.02441,0.00550,0.77040,0.02836,0.35972,84.91374,0.03385,0.20832,0.03120,12.81936,0.10234,0.56370,0.01019
51,Prosmyky,brooch_D,0.00302,0.07136,0.01640,0.00474,0.26549,0.01291,0.12047,89.05076,0.00016,0.19959,0.04265,7.06499,0.16592,2.86887,0.01372
52,Prosmyky,brooch_D,0.00121,0.00097,0.03493,0.00619,0.48579,0.02437,0.18173,87.17839,0.29458,0.24312,0.05332,9.65966,0.21527,1.53717,0.01256
53,Prosmyky,brooch_D,0.00196,0.13895,0.06579,0.00519,0.24135,0.01689,0.20614,84.77486,0.07037,0.24970,0.06638,11.78988,0.19447,2.09736,0.02257
54,Prosmyky,brooch_D,0.00102,0.01880,0.05268,0.00571,0.57097,0.02312,0.09482,86.90756,0.02684,0.25970,0.05556,8.46966,0.13325,3.28605,0.01283
55,Prosmyky,bracelet,0.00125,0.07225,0.00000,0.00219,0.32134,0.01491,0.08489,85.45919,0.06775,0.32438,0.03867,11.96095,0.18972,1.37153,0.00787
56,Prosmyky,bracelet,0.00586,0.00000,0.01031,0.00313,0.49994,0.02216,0.07742,85.85670,0.02943,0.23556,0.03841,8.89156,0.07934,4.14165,0.01384
57,Prosmyky,bracelet,0.00027,0.00000,0.00398,0.00414,0.84562,0.02123,0.17829,86.75323,0.44604,0.34694,0.03214,7.59196,0.23230,3.46353,0.01335
58,Prosmyky,bracelet,0.00162,0.03962,0.08161,0.00299,0.14545,0.02073,0.23845,82.49389,0.02930,0.58711,0.04135,10.84489,0.69757,4.71891,0.01280
59,Prosmyky,bracelet,0.00090,0.00000,0.02377,0.00506,0.21932,0.02066,0.23180,84.97229,0.01212,0.52284,0.05567,9.01097,0.64721,4.18303,0.01262
