id,type_eng,Li,Mg,Al,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Sn,Sb,Pb,Bi,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
39,brooch_Dux,0.000,0.000,0.000,0,0.000,225,0.082,88.1,0.04,0.25,0.035,9.16,0.117,2.062,249,0.838,2.073,18.707,15.677,38.782
40,bracelet,0.000,0.000,0.000,0,0.000,92,0.017,87.1,0.02,0.00,0.011,12.55,0.022,0.055,0,0.857,2.106,18.193,15.596,38.309
41,bracelet,0.000,0.000,0.000,0,0.361,257,0.122,88.8,0.05,0.17,0.019,8.35,0.113,1.865,237,0.843,2.081,18.587,15.669,38.676
42,brooch_Dux,0.000,0.000,0.000,0,0.000,0.000,0.000,93.5,0.00,0.00,0.00,6.32,0.014,0.004,0,0.848,2.086,18.415,15.608,38.415
43,bracelet,0.000,0.153,0.051,514,0.000,46,0.130,90.1,0.20,0.11,0.015,8.94,0.025,0.222,0,0.845,2.085,18.518,15.653,38.604
44,bracelet,0.000,0.000,0.000,0,0.287,67,0.037,87.3,0.00,0.11,0.015,12.13,0.040,0.058,0,0.849,2.089,18.431,15.644,38.502
45,brooch_Dux,0.000,0.000,2.366,23659,0.000,0.000,0.032,85.0,0.00,0.14,0.00,12.34,0.040,0.024,0,0.856,2.096,18.239,15.611,38.221
46,brooch_Dux,0.000,0.000,0.000,0,0.391,178,0.155,85.8,0.04,0.21,0.019,9.32,0.264,3.710,200,NA,NA,NA,NA,NA
47,brooch_Dux,0.000,0.022,0.000,0,0.000,0.000,0.013,88.1,0.00,0.00,0.006,11.63,0.096,0.026,0,0.857,2.105,18.207,15.607,38.333
48,brooch_Dux,0.000,0.016,0.026,257,0.000,68,0.053,88.0,0.04,0.10,0.00,11.66,0.009,0.013,0,0.851,2.093,18.354,15.614,38.407
49,brooch_Dux,0.000,0.000,0.000,0,0.000,233,0.147,87.6,0.00,0.26,0.019,8.50,0.217,3.129,344,0.840,2.077,18.650,15.672,38.739
