id,site,type_eng,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
63,Zemechy,brooch_D,0.855522,2.104727,18.265032,15.625524,38.442902
64,Zemechy,brooch_D,0.849703,2.088631,18.395227,15.63087,38.420842
65,Zemechy,brooch_D,0.84869,2.090363,18.432668,15.643434,38.530975
66,Zemechy,bracelet,0.850695,2.097231,18.420265,15.669513,38.631548
67,Zemechy,bracelet,0.844521,2.087232,18.560841,15.675018,38.740784
68,Zemechy,anklet,0.85259,2.093456,18.290463,15.59427,38.290278
69,Zemechy,bracelet,0.846765,2.086216,18.469768,15.639571,38.531925
70,Zemechy,armring,0.843187,2.083933,18.588362,15.673366,38.736893
71,Zemechy,bracelet,0.846449,2.085032,18.467664,15.631651,38.505664
72,Jenisuv_Ujezd,bracelet,0.839871003501,2.0773375,18.6551627,15.6678106,38.7530699516859
73,Jenisuv_Ujezd,bracelet,0.8504435197347,2.0896858,18.3828672,15.6340428,38.4144165230733
74,Jenisuv_Ujezd,brooch_D,0.8462926,2.0837726,18.462067,15.6243111,38.4707497430163
75,Jenisuv_Ujezd,brooch_D,0.8519656,2.0962225,18.3811502,15.6603823,38.5309807322257
76,Jenisuv_Ujezd,bracelet,0.8362729145066,2.0592312,18.6134954,15.5658748,38.3294908970187
77,Jenisuv_Ujezd,bracelet,0.8425008,2.080958,18.5984681,15.6690891,38.7026304316883
78,Jenisuv_Ujezd,bracelet,0.8411791,2.080585,18.6290828,15.6705349,38.7593896050639
79,Jenisuv_Ujezd,brooch_D,0.8463294,2.0838692,18.4628313,15.6254483,38.4741263454458
80,Jenisuv_Ujezd,brooch_M,0.8580867,2.0968982,18.1785053,15.5988187,38.1184756707287
81,Prague,torc,0.8344345387791,2.065558,18.776413,15.667422,38.7837686165975
82,Prague,belt,0.8541406971648,2.098547,18.331115,15.65695,38.4687070829872
83,Prague,bracelet,0.8540848888779,2.097467,18.289688,15.620759,38.362018306227
84,Prague,bracelet,0.8443672837689,2.082481,18.51657,15.634977,38.5604144800116
85,Prague,bracelet,0.8541439506222,2.098216,18.29412,15.625812,38.3850135509408
86,Prague,belt,0.8395996840129,2.080344,18.649873,15.658719,38.7981500155545
87,Prague,belt,0.8472385615331,2.085417,18.455286,15.635375,38.4869682080234
88,Prague,brooch_D,0.8530950942437,2.094493,18.311104,15.620932,38.3524749459298
89,Prague,bracelet,0.8472326110721,2.083454,18.4221,15.607545,38.3815988831646
90,Prague,brooch_D,0.8419851954213,2.078011,18.490547,15.569009,38.4235547389126
91,Prague,brooch_D,0.8408209788141,2.078714,18.636518,15.669976,38.739987404925
92,Prague,torc,0.8482747429414,2.08587,18.416416,15.621584,38.4142523074819
