Region,Region2,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204,reference,Outlier
Valais,Valais,0.85543,2.10013,18.29,15.645,38.409,NA,FALSE
Valais,Valais,0.83389,2.07016,18.796,15.673,38.913,NA,FALSE
Valais,Valais,0.85218,2.09091,18.336,15.626,38.339,NA,FALSE
Valais,Valais,0.81105,2.00479,19.372,15.713,38.849,NA,FALSE
Valais,Valais,0.82747,2.04092,18.946,15.677,38.668,NA,FALSE
Valais,Valais,0.84122,2.07212,18.623,15.666,38.589,NA,FALSE
Valais,Valais,0.69152,1.71278,22.978,15.891,39.346,NA,TRUE
Valais,Valais,0.69416,1.7206,22.888,15.888,39.382,NA,TRUE
Valais,Valais,0.84707,2.08897,18.498,15.67,38.639,NA,FALSE
Valais,Valais,0.84202,2.0783,18.606,15.666,38.668,NA,FALSE
Valais,Valais,0.85915,2.09942,18.176,15.616,38.159,NA,FALSE
Valais,Valais,0.81197,2.01517,19.299,15.67,38.891,NA,TRUE
Valais,Valais,0.84769,2.08922,18.482,15.667,38.612,NA,FALSE
Valais,Valais,0.84745,2.08841,18.489,15.668,38.612,NA,FALSE
Valais,Valais,0.39728,0.91884,42.591,16.921,39.134,NA,TRUE
Valais,Valais,0.84801,2.08675,18.47,15.663,38.539,NA,FALSE
Valais,Valais,0.84999,2.08906,18.425,15.663,38.494,NA,FALSE
Valais,Valais,0.78846,1.94906,19.961,15.741,38.902,NA,FALSE
Valais,Valais,0.84309,2.07027,18.57,15.656,38.445,NA,FALSE
Valais,Valais,0.85538,2.0976,18.301,15.655,38.39,NA,FALSE
Valais,Valais,0.64451,1.54805,24.873,16.031,38.504,NA,TRUE
Valais,Valais,0.83767,2.06577,18.706,15.669,38.641,NA,FALSE
Valais,Valais,0.83699,2.06586,18.743,15.687,38.721,NA,FALSE
Valais,Valais,0.84225,2.07618,18.592,15.66,38.606,NA,FALSE
Valais,Valais,0.80875,2.00964,19.426,15.712,39.038,NA,FALSE
Valais,Valais,0.8532,2.08815,18.251,15.572,38.112,NA,TRUE
Valais,Valais,0.8424,2.0824,18.584,15.655,38.698,NA,FALSE
Valais,Valais,0.84417,2.08595,18.553,15.662,38.704,NA,FALSE
Valais,Valais,0.83874,2.08345,18.674,15.664,38.909,NA,FALSE
Valais,Valais,0.84372,2.07982,18.533,15.641,38.552,NA,FALSE
Valais,Valais,0.89031,2.17023,17.475,15.558,37.926,NA,FALSE
Valais,Valais,0.83525,2.05728,18.742,15.655,38.558,NA,FALSE
Valais,Valais,0.83563,2.05817,18.735,15.655,38.559,NA,FALSE
Valais,Valais,0.84423,2.08082,18.58,15.684,38.659,NA,FALSE
Valais,Valais,0.786,1.96656,20.012,15.729,39.354,NA,TRUE
Valais,Valais,0.84549,2.08546,18.527,15.664,38.636,NA,FALSE
Valais,Valais,0.84941,2.08341,18.401,15.63,38.334,NA,FALSE
Valais,Valais,0.84394,2.07557,18.531,15.641,38.458,NA,FALSE
Valais,Valais,0.92169,2.17471,16.777,15.463,36.486,NA,TRUE
Valais,Valais,0.94322,2.20322,16.352,15.423,36.025,NA,TRUE
Valais,Valais,0.82583,2.04131,18.938,15.634,38.646,NA,TRUE
Valais,Valais,0.82924,2.05215,18.887,15.663,38.764,NA,FALSE
Valais,Valais,0.83263,2.06171,18.806,15.658,38.772,NA,FALSE
Valais,Valais,0.8168,2.0341,19.209,15.691,39.073,NA,FALSE
Valais,Valais,0.81821,2.03655,19.169,15.684,39.038,NA,FALSE
Valais,Valais,0.82101,2.04096,19.104,15.685,38.989,NA,FALSE
Valais,Valais,0.84705,2.08785,18.5,15.672,38.627,NA,FALSE
Valais,Valais,0.82886,2.06335,18.919,15.683,39.045,NA,FALSE
Valais,Valais,0.84813,2.0901,18.47,15.665,38.605,NA,FALSE
Valais,Valais,0.82525,2.05383,18.986,15.668,38.993,NA,FALSE
Valais,Valais,0.82604,2.04448,18.994,15.69,38.833,NA,FALSE
Valais,Valais,0.81923,2.02679,19.164,15.7,38.842,NA,FALSE
Valais,Valais,0.84235,2.07935,18.617,15.682,38.714,NA,FALSE
Valais,Valais,0.83773,2.07052,18.715,15.678,38.749,NA,FALSE
Valais,Valais,0.84944,2.08814,18.432,15.656,38.486,NA,FALSE
Valais,Valais,0.85033,2.08995,18.422,15.665,38.499,NA,FALSE
Valais,Valais,0.84315,2.07971,18.581,15.667,38.642,NA,FALSE
Valais,Valais,0.84255,2.07699,18.604,15.673,38.636,NA,FALSE
