"site","code","Li","Mg","Al","Mn","Fe","Co","Ni","Cu","Zn","As","Ag","Sn","Sb","Pb","Bi","analytical total"
"Jenisuv_Ujezd","JEN_45-02","<100","<0.01","<0.01","<50","<0.01","<50",0.01,90.75,"<0.01","<0.10",0.011,8.89,0.016,0.32,"<50",86.55
"Prague","PRA-01","<100",0.36,0.04,"<50",0.44,"<50",0.01,86.81,0.22,"<0.10",0.011,9.42,0.038,1.09,"<50",88.64
"Prague","PRA-02","<100","<0.01","<0.01","<50",0.10,137,0.33,85.11,0.03,0.21,0.026,13.79,0.117,0.26,"<50",82.62
"Prague","PRA-03","<100","<0.01",0.15,"<50",0.09,"<50",0.02,86.30,"<0.01",0.12,0.008,13.22,0.038,0.04,"<50",83.87
"Prague","PRA-04","<100","<0.01","<0.01","<50",1.16,98,0.05,80.92,"<0.01",0.28,0.032,13.22,0.064,4.24,"<50",94.59
"Prague","PRA-05","<100","<0.01","<0.01","<50",0.32,52,0.03,87.10,"<0.01",0.18,0.010,12.20,0.037,0.03,"<50",88.92
"Prague","PRA-06","<100","<0.01",0.26,"<50",0.10,736,0.06,82.12,"<0.01",0.12,0.021,15.21,0.043,1.99,"<50",84.93
"Prague","PRA-07","<100",0.15,0.05,"<50",0.45,805,1.17,85.26,0.14,0.68,0.054,11.58,0.336,0.03,"<50",76.07
"Prague","PRA-08","<100",0.04,0.14,56,0.49,"<50",0.01,88.49,0.01,"<0.10",0.026,10.57,0.077,0.11,"<50",75.09
"Prague","PRA-09","<100",0.10,"<0.01",51,0.34,"<50",0.03,87.82,"<0.01","<0.10",0.008,11.60,0.040,0.03,"<50",77.26
"Prague","PRA-10","<100",0.08,"<0.01","<50",0.07,"<50",0.01,87.56,0.04,0.11,0.079,11.88,0.059,0.10,"<50",92.16
"Prague","PRA-11","<100",0.19,"<0.01","<50","<0.01",258,0.13,86.14,"<0.01",0.27,0.110,8.93,0.191,3.99,"<50",95.97
"Prague","PRA-12","<100","<0.01","<0.01","<50",0.03,171,0.18,79.61,"<0.01",0.22,0.023,9.95,0.145,9.83,"<50",95.56
